55.3015 	INFO 	FIRST SOUND VOL: 0.5
56.1020 	INFO 	SECOND SOUND VOL: 0.09375
56.6053 	DATA 	Keypress: left
58.4137 	INFO 	FIRST SOUND VOL: 0.8984375
59.2141 	INFO 	SECOND SOUND VOL: 0.5
59.8935 	DATA 	Keypress: left
61.7016 	INFO 	FIRST SOUND VOL: 0.5
62.5021 	INFO 	SECOND SOUND VOL: 0.09375
62.7320 	DATA 	Keypress: left
64.5405 	INFO 	FIRST SOUND VOL: 0.296875
65.3410 	INFO 	SECOND SOUND VOL: 0.5
65.6870 	DATA 	Keypress: right
67.4948 	INFO 	FIRST SOUND VOL: 0.296875
68.2953 	INFO 	SECOND SOUND VOL: 0.5
68.6446 	DATA 	Keypress: right
70.4529 	INFO 	FIRST SOUND VOL: 0.5
71.2534 	INFO 	SECOND SOUND VOL: 0.59375
71.6999 	DATA 	Keypress: right
73.5089 	INFO 	FIRST SOUND VOL: 0.5
74.3093 	INFO 	SECOND SOUND VOL: 0.3984375
74.7880 	DATA 	Keypress: left
76.1029 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Volume: before experiment', units='pix', win=Window(...), wrapWidth=1000)
77.6931 	DATA 	Keypress: space
78.1965 	INFO 	FIRST SOUND VOL: 0.5
78.9969 	INFO 	SECOND SOUND VOL: 0.3984375
79.1900 	DATA 	Keypress: f7
82.4847 	DATA 	Keypress: right
83.2894 	INFO 	FIRST SOUND VOL: 0.34375
84.0899 	INFO 	SECOND SOUND VOL: 0.5
84.6747 	DATA 	Keypress: right
85.4791 	INFO 	FIRST SOUND VOL: 0.5
86.2796 	INFO 	SECOND SOUND VOL: 0.34375
86.3993 	DATA 	Keypress: left
87.2037 	INFO 	FIRST SOUND VOL: 0.5
88.0044 	INFO 	SECOND SOUND VOL: 0.34375
88.6578 	DATA 	Keypress: left
89.4624 	INFO 	FIRST SOUND VOL: 0.59375
90.2628 	INFO 	SECOND SOUND VOL: 0.5
90.7307 	DATA 	Keypress: left
91.5353 	INFO 	FIRST SOUND VOL: 0.59375
92.3358 	INFO 	SECOND SOUND VOL: 0.5
92.7637 	DATA 	Keypress: left
93.5679 	INFO 	FIRST SOUND VOL: 0.3984375
94.3684 	INFO 	SECOND SOUND VOL: 0.5
94.6049 	DATA 	Keypress: right
95.4095 	INFO 	FIRST SOUND VOL: 0.5
96.2099 	INFO 	SECOND SOUND VOL: 0.546875
97.0760 	DATA 	Keypress: right
97.8806 	INFO 	FIRST SOUND VOL: 0.5
98.6810 	INFO 	SECOND SOUND VOL: 0.546875
100.5163 	DATA 	Keypress: left
100.8255 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=20, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='Volume: end', units='pix', win=Window(...), wrapWidth=1000)
105.3231 	DATA 	Keypress: space
105.3337 	EXP 	window1: mouseVisible = True
105.3359 	EXP 	window1: mouseVisible = True
